iter	Passed	Remaining
0	0	93
1	1	82
2	2	80
3	3	75
4	3	73
5	4	71
6	5	71
7	6	71
8	7	71
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	12	64
16	12	63
17	13	61
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	18	57
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
